GeneName,sampleA,sampleB,sampleC,sampleD,sampleE,sampleF,sampleG,sampleH
Gm31084,6.244238912,6.2403342743,6.0471365916,6.1137682453,6.0296016271,6.023500579,6.0491244055,6.1415367068
BI456692,6.1513023747,6.1624057406,6.0428428716,6.1354818546,6.2297395496,6.2053890134,6.2066835397,6.1224667107
Fcho2,7.9362690396,7.9126697601,7.2921842374,7.7107597445,7.5478161665,7.5183040813,7.7424926208,7.6959837844
Exoc2,12.2372997663,12.7978884722,11.7088413312,11.6654511638,11.0766565102,11.6758237417,11.2360200923,10.9610601803
LOC102640035,7.8927938931,7.0376353556,6.9707656512,7.0599827716,7.2859014224,6.8790931407,6.8847734007,6.9208483035
2810428I15Rik,10.0434916901,9.6382276983,9.8560504656,9.9785222452,9.8511392688,9.9794209919,9.8651190278,10.0926761831
Mcm8,10.4811392263,10.16335619,10.5736191326,10.2539883218,10.3809129128,10.6411295235,10.7161907106,10.6356051266
Gm38585,6.0954347375,5.8898699358,6.036293031,6.0757906954,6.1232304213,6.1027342105,6.0765703006,5.9734472329
LOC106740,11.3792480712,10.096727873,9.0570925284,11.5943002105,10.8872111162,9.1985186459,11.0064741448,10.0412029654
Prdm5,6.1581074515,6.4844376364,6.7086094139,6.2163434214,6.3333658166,6.5449416381,6.8227112085,6.7057899736
Tubgcp6,11.3570471815,11.3828119569,11.8328447633,11.6347180109,11.5181840695,11.6985186125,11.7262748759,11.8317556805
Chid1,11.4468375305,11.8388779654,11.2092694911,11.6376874173,11.4464731537,11.021546637,11.9169093576,12.1433164966
Gm19600,6.0474241077,6.0478093969,6.0614567346,6.0891363096,6.0881573847,5.9658781089,6.1128562512,6.0782923622
Med31,11.5751712409,11.702722682,11.1567207178,11.1432025102,11.4661254872,11.3342058862,11.1389050326,10.6072086596
Gimap8,10.3960947582,10.6545690658,10.4208654367,10.7998769251,11.0012802547,10.578309988,10.6212925496,10.6719744614
Fam193a,8.2433081149,7.7937366933,7.5237468381,7.7369441183,7.8604060135,7.6982897562,7.6459335881,7.3740559842
Nr1h2,14.4417063585,14.404035158,13.5027516042,13.9703002223,13.9246567025,13.5108594467,13.624086378,13.6275536615
Ncmap,7.5188208373,7.6744893718,6.5913314762,7.5536153478,6.8193794772,6.5429130024,6.9086487567,7.0173767593
Ccne2,6.9874221022,7.0441366057,7.6355532174,7.0682437415,7.1614175927,7.7062416239,7.3128345251,7.2628933788
4930538K18Rik,6.4287979865,6.6394128446,6.4103934133,6.3560398827,6.3796735033,6.1662399336,6.1937463012,6.4185129751
Gm10266,6.0338157063,6.1243834835,6.1313269013,6.0501482753,6.180352769,6.2399598839,5.9336227845,5.8961159612
Bmx,6.0905830094,6.0337535446,6.0029862497,6.2342292553,6.0517290559,6.0593082705,6.0504362311,5.9524476689
Slc22a16,9.1787859496,9.3643461105,9.1112056632,9.0505173609,9.261841903,8.9012110613,9.0132649471,9.447785739
Gm34037,6.3496818528,6.0918977524,6.3355991367,6.338899327,6.1922170073,6.2415604193,6.1901407715,6.3409012382
4930405J17Rik,6.9941662331,6.7804810147,6.5934913865,6.7677431367,6.7736504176,6.7437845475,6.6006016566,6.7139246586
Mest,6.2059104543,6.5071520459,6.2656144086,6.18754199,6.1971037441,6.1127730928,6.2539101176,6.2431203337
Rnase9,6.2310348651,6.2399598839,6.2970559553,6.2911776707,6.2838216335,6.3612094566,6.2534673253,6.0944239601
Ndufa2,14.9173343697,15.0648132973,15.0085235162,15.2016019319,15.3210055117,15.0450189447,15.0062706537,15.1765532723
Idnk,11.5111016293,11.5328271391,11.8963097198,11.818650072,11.780266999,12.0668426224,11.557062114,11.3480121338
BB113845,7.5646359697,7.6729779614,7.7212502838,7.6207380796,7.6599168637,7.554064815,7.8399622774,8.1284145302
Gm40835,7.6374995088,7.502040124,7.5601817769,7.8529237906,7.7413402397,7.5842022396,7.8369108673,7.8713884263
Gm5464,6.6224129792,6.944664627,6.8148541089,6.816113123,7.21430077,6.9831502105,6.6912390391,7.1531959251
LOC102636989,6.0103307016,6.0317379692,6.0293320129,6.0608402606,6.1798011813,6.2168815484,6.0966541757,6.1685765982
Rep15,7.8119243198,7.849715549,7.7944606533,8.8401245037,8.0170978652,7.7994308661,8.3374639726,7.4354441101
Gm41810,6.2093472958,6.1892634531,6.1812291614,6.0391598786,6.2260322756,6.1584111182,6.1298506757,6.1293135148
AU016987,6.150857845,6.0330994786,6.078413275,6.0063836329,6.0324563994,6.133128743,5.9834460075,5.995108158
AK048047,6.3738433653,6.3775560586,6.3289607884,6.3851974359,6.3341435445,6.445522643,6.4843529693,6.542992012
Ctrl,7.426024285,7.5373569301,7.9163069583,7.2155045194,7.4201425065,7.8177643867,7.3969732846,7.3119852997
Ints5,10.1712546458,10.5629571869,10.9629890007,10.0529743115,10.0348505973,10.7623430553,10.3290748532,10.4601538832
Hprt,14.8404771501,14.486703727,14.900991883,14.5719576096,14.6626684726,14.7819477736,15.2219110435,15.2030779355
Zic5,6.0951338856,6.0363336466,6.3222781806,5.9806363258,6.236390572,6.1601913978,6.1934763291,6.2060593564
Vmn1r66,6.5901719961,6.2994430357,6.3745199743,6.3722507944,6.4743707079,6.3835715109,6.3911978931,6.5129139505
BC024957,13.1627257339,13.5734004071,13.1325032146,13.6417073325,13.4686095268,13.0881802145,13.000703415,13.0580212377
Ms4a4b,10.3941987032,9.4892033758,6.6787136123,13.1615371204,13.1890367952,9.5106053946,11.0500781281,13.6170094877
Mterf2,9.9800769858,9.7067218542,10.2193050201,10.1054838581,9.8540081367,10.1464356133,10.2317023107,10.0132453376
Mptx1,6.1409319149,6.1073138895,6.1262184223,6.076783695,6.0834431613,6.032396587,6.1628018533,6.1861098867
Arhgap9,10.7060133787,10.862503386,10.8979833997,11.0409570081,10.7569297347,10.7810267461,10.4688547,11.5828232486
Slc34a2,6.0701285522,6.1390261853,6.102275581,6.0589906569,6.6869477809,6.1423249187,6.1991042447,6.095418963
Gm24474,6.092211085,6.2077795496,6.0836953119,6.2453516117,6.1408980979,6.0902559666,6.1319310211,6.207204019
TC1641987,6.5400937584,6.4113736543,6.8271158869,6.6767446595,6.3911739773,6.4850869373,6.6710251823,6.5237490694
Rap2b,7.7462908895,8.1267489486,8.2763362902,8.1746147895,8.2651374972,8.2341451002,7.8034206615,8.398882547
Bricd5,7.7717344,8.3432252258,7.084942018,6.6685050805,6.9305150704,7.0162468501,7.1100165643,6.6461148132
AK131781,6.1128899209,6.0281459682,6.0585657991,6.0485838361,6.1072272894,6.1901254938,5.9952537935,6.0905658833
St3gal5,7.9750044652,7.5711083952,9.2690681198,8.2330319015,8.8278752416,8.8796712916,8.9380155675,8.7669410118
NAP005004-001,10.2813705765,10.1130696338,10.4252120811,9.9038893318,9.8553330351,10.3608604548,10.487599824,10.2673667872
Dok6,6.1294583401,5.9122645278,6.143130869,6.6515617561,6.9414717037,6.2038411703,6.1178148774,6.1027712036
Katna1,12.3671289014,12.449526096,12.1341636376,12.4016502369,12.3299826853,12.1994312635,11.7422768227,11.8000700167
Gm35771,7.9139332723,7.9482147842,7.9367005327,7.8058439783,7.659507382,7.8361111085,8.0041179841,8.094029947
Gm36279,6.3141595256,6.206075863,6.3297261304,6.2101415398,6.3841750703,6.5809620314,6.3410567034,6.2314064093
Rasal1,7.4371818013,6.889711896,7.7492038767,7.249090424,8.0203282062,7.4333507125,7.3776806814,7.711161499
Tas2r116,6.097342247,6.0603905684,6.0358656687,5.9872336207,6.0069789983,6.0874895047,6.0274488724,6.0160984589
Defb25,6.61640957,6.4890461326,6.5106120071,6.5541896534,6.5259109642,6.3862639783,6.3381906954,6.5069213198
4930591E09Rik,6.3976479688,6.2159594244,6.2222792127,6.4235831699,6.2503903683,6.3582917203,6.2299770249,6.2635099147
Ogg1,10.7943369889,11.1170598443,12.1008296648,11.4283586385,11.4015484102,12.0124952288,11.3719499164,11.6498132608
Slc26a8,6.1783599752,6.1594804474,6.3140091721,6.2151154509,6.2638274479,6.207497425,6.250965197,6.2450740216
Lrrc30,6.4236250512,6.3421488964,6.3318301049,6.2724758385,6.1999099767,6.332166555,6.306216195,6.1204167179
Mon1b,11.5275160857,12.0234267782,11.6062525512,11.8958888927,12.1224784626,11.652663731,11.3789859,11.5848052735
Phactr2,10.6740796734,10.4007837602,10.1654439676,11.0480627442,11.0607582725,10.3177502711,10.6528875329,9.1223613881
Tex35,6.3714134301,6.3263614088,6.4556268548,6.3738645444,6.3059868211,6.4352521634,6.3659856888,6.367927192
AK089445,6.4484855199,6.5408873427,6.4726311648,6.4703122354,6.4782261341,6.2739761872,6.6248731383,6.7311922986
2810403G07Rik,7.4763425787,8.1963852417,6.9787629796,7.5578622469,6.6416167582,7.1546576504,7.6474134824,6.2690846234
Abhd2,10.4580394739,10.5031010855,11.0579386789,11.0806000146,11.933025136,11.6617081415,11.0060945696,10.9991999372
Crygd,6.8679463668,6.7367454779,6.7238554175,6.8124980604,6.8482877445,6.8916252597,6.6569551282,6.6610372314
Olfr845,7.1005414051,6.9883389177,7.1864472305,7.2533916239,7.0681139621,6.9444415205,7.3510555699,7.6943479734
AK154091,7.4524296202,7.3153325699,7.2208617103,7.237906195,7.3604569897,7.1530297016,7.5761153139,7.713551156
Bex4,6.867312748,6.3795840206,6.4647908182,6.5151364019,6.5690793872,6.2464746486,6.4622310919,6.1633925908
Klrb1-ps1,6.902158694,6.7596802594,6.4843215609,6.4717735428,6.4807217479,6.2334632427,6.5901853708,6.6919541941
Spaca4,9.4653635118,9.4794238624,9.2570864907,9.5917908229,9.4238277882,8.8991018379,9.6261526682,10.0352491242
Dnajb9,7.3773415972,7.4195600712,6.8970213106,7.7793542639,7.5992953429,7.1972794383,6.9888845894,6.9958541338
Gm9744,6.3805090524,6.4200759171,6.3304343803,6.5316734579,6.5435427463,6.5180194282,6.4693169024,6.595918676
Gm36703,6.1711021316,6.197494463,6.0305933405,6.2427003543,6.2121801914,6.146731248,6.0974806042,6.1390766876
Hsd3b2,11.7313763878,12.4109033121,11.8831652318,12.2273284123,12.4380284277,11.8434956734,11.9579316649,12.0602352946
Tbc1d7,10.1335035699,10.0914204107,10.6456461406,10.1657386153,10.2880417995,10.6465881449,10.4577865465,10.6075116711
Nhej1,10.1349373944,9.6404642087,10.3177502711,10.3861156731,10.5344150982,10.3085410772,10.1877718626,9.8544759494
AI596198,6.5297597956,6.3793253094,6.8236209899,6.5500394449,6.3551793994,6.6753815841,6.8770410016,6.7188857127
DR065772,6.3257258821,6.1652516513,6.1815275118,6.296918511,6.148418112,6.2832358153,6.3645888977,6.1461177558
AK036131,8.3196172444,8.1790962692,8.4052540567,8.8253359546,8.933215475,8.519586777,8.308341033,8.0759741515
Med20,11.1358499544,11.234937298,11.1180158285,10.9622229649,10.8571188305,10.9847261953,10.8430528913,11.0500781281
Ifrd1,12.6486653525,11.7069688185,12.2178122654,13.3786527721,12.7178651504,12.3316820172,12.844569191,11.6394571328
Ctnnbl1,13.2522956907,13.1489279512,13.4865193032,13.3245863547,13.0632524988,13.3551766577,13.3949115805,14.0547179285
Gnb5,7.7242356424,7.7393390394,7.5117438499,7.9296189494,8.4473210035,8.2426166155,7.8920207398,7.8711738821
Spata2,13.0212989851,13.2051318571,12.9329391414,12.9957166948,12.906857571,12.9264495582,12.8996068996,12.7029771465
Dhdh,9.7096495212,10.341576686,10.0198427078,9.3437070318,9.7191704539,9.99067134,9.6895805388,9.4214521363
Enthd1,6.4162695277,6.4199057888,6.2881492694,6.2540867167,6.2039662486,6.1780211646,6.5644432285,6.2692087085
Gm30636,6.3552580989,6.4637771326,6.9256630352,6.2986449437,6.504388302,7.5418745061,6.2189672014,6.163527536
N4bp1,11.6797993313,11.9017667141,10.8741608368,12.224286259,11.3615857775,10.9281832891,11.3082484696,10.0849088251
1810013D15Rik,6.2331281162,6.3163729155,8.0448847893,6.1464052016,6.1826960926,6.306745849,6.209020438,6.282236594
1700112E06Rik,6.0783476442,6.1912544127,6.0599029595,6.3190673128,6.0724976992,6.1133947885,6.1805072959,6.1347974896
Gm30564,5.8778907975,5.9971241917,6.0320807463,5.8614410113,6.0413478265,6.0431247728,5.9905566106,6.0426916793
Rbfox3,5.8224769224,6.3448310146,5.942837107,6.1196862572,6.0466635704,6.3283965994,5.9627211581,6.0579326218
Csf3r,15.8284343243,15.96002923,15.8063347266,15.96002923,15.9642905421,15.7528030052,16.107871915,16.1461539515
Nrl,6.2156622838,6.1880451013,6.1866050853,6.3191743918,6.1861737182,6.2436498242,6.1492725481,6.1895531422
Msx3,6.1987118142,6.1645925414,6.2259220437,6.3451800894,6.4324535314,6.239103966,6.1374408755,6.1992353475
Hand2,6.6018666593,6.8879695501,7.0951695715,6.5885671306,6.935770933,6.4834633853,6.4453855221,6.3963626056
AK042249,6.2867272549,6.3598580958,6.3694471192,6.0945768394,6.2696578163,6.0854072069,6.2804961596,6.3086965972
Olfr618,6.1275295565,6.0417986576,6.0559051528,6.157423952,6.1827474746,6.2535556652,6.0992076574,6.1422167854
Commd3,13.6784218417,14.1071984299,13.5843559954,14.0186048714,14.0817792293,13.6006258089,13.7891463087,14.0899156116
P2rx1,6.5560496992,6.41551327,6.4972727847,6.6132320708,6.543081637,6.4560159144,6.4987347524,6.6361646264
Cyp4f17,8.5192002053,9.0705198452,8.7919334025,9.3109611657,9.1588254612,8.756180304,8.351954278,8.9477006263
Steap4,6.2415667968,6.1466264995,6.1308734064,6.1578951179,5.9545364005,6.0406937826,6.1268372847,6.0963710898
Gm30556,6.1354358151,6.1653454186,6.2779939201,6.1010233663,6.3459038726,6.3152780103,6.084628054,6.0575952173
B930053N02Rik,6.1745557925,6.1696647736,6.1097338311,5.9468606224,6.2010535888,6.0450848193,6.0573219896,6.0276026608
E530001K10Rik,6.0858120494,6.1490204468,6.1520601464,5.9983518342,6.0083207397,6.0388628179,6.0933195067,6.1520217732
Gm31925,6.1338682506,6.1351876493,6.1443371533,6.1340137414,6.2100390109,6.1504089953,6.1139590907,6.1680619096
BB872135,6.2040901399,6.3964031699,6.3177669286,6.4334318927,6.4191993054,6.5095090048,6.4222128653,6.3733123693
5830469G19Rik,12.6044328198,12.5566780499,11.8163240921,12.2342613989,12.3185630633,11.7694017086,12.0440443381,12.1818662248
Gm34596,6.5076077258,6.4682091821,6.3714134301,6.3469186211,6.2662027851,6.405583791,6.5093036229,6.4253309674
Mtcp1,7.5314458166,7.3551002384,7.4596805363,7.777392924,7.5113091244,7.6416494269,7.5199992665,7.637655574
Hsd17b6,6.4357675215,6.4079811144,6.2317900483,6.3892358696,6.2301064523,6.3240787554,6.4364626202,6.3641622744
2610016A17Rik,6.0873675959,6.1980090375,5.9836304303,6.0539000839,6.1177405617,6.0828456643,6.1948300704,6.1614092407
A930018P22Rik,6.7920863666,6.5837401826,6.5841887613,6.7075723086,6.6959770046,6.7534885614,6.663434998,6.5529904607
Olfr559,6.6862801801,6.4226512127,6.5277504942,6.5366225718,6.4600014661,6.5656392532,6.3540831881,6.5112229808
Gm5476,6.2806643453,6.3111910404,6.2136070495,6.2464043341,6.2646118562,6.3337645353,6.1665282375,6.0473246809
F830016B08Rik,10.7766509069,11.8139897271,11.2424627913,11.3983307015,11.5710421285,11.1143083829,10.7806605867,11.1771467629
Spag4,7.5259791399,7.4309930416,7.3289091418,7.5402484556,7.2891778865,7.4028762255,7.6711695162,7.2118597261
BC024929,6.0521779205,5.9607190289,6.0452233341,6.0169097823,5.9423312075,5.9510529808,6.0384460918,6.1877794715
Nipsnap1,11.3390219409,11.3623408007,11.9442610877,11.3315392935,11.3598210542,11.8850692871,11.5879838619,11.4647511784
Fam76b,11.5074703702,11.5259083501,10.969377259,11.5678726949,11.5328271391,10.9256067021,11.2666108008,11.5200112922
Klf15,6.3251454761,6.1537016295,6.2163434214,6.151001219,6.2900932875,6.2754738755,6.2331577784,6.179430017
Sdpr,6.5548460774,6.3868879613,6.5054748035,6.6724216127,6.6382648874,6.5557055562,6.3997307116,6.4487381632
Eef1a2,6.2172797175,6.1151720107,6.1461095857,6.281930609,6.2425746304,6.2323148842,5.9833288639,6.134306103
Nrsn1,6.2258940847,6.216090579,6.0592252087,6.0944753116,6.1667070273,6.1205522899,6.1479428296,6.0716303723
Nlrp3,6.5969568527,6.6304907868,6.5520895639,6.7145453013,6.5725051069,6.7225584345,6.6016628084,6.804964955
Krt7,6.3619000282,6.2922213798,6.3610686827,6.4435898668,6.4733361506,6.5238150413,6.3730373497,6.4137702641
Faim,11.5010431686,11.55560327,11.5939980249,11.6301817298,11.6050899078,11.7677279105,11.2587194702,11.576528084
LOC102641648,13.9719292633,13.8214024446,14.231682359,13.4226714075,13.3239927592,14.083420227,13.864596902,13.7206050766
Apold1,7.2341130811,7.4720663548,6.7988819631,7.4097115276,7.3703563807,7.0582610468,7.4619349035,7.389861617
NAP059579-1,6.2230529431,6.1512540195,6.145980878,6.1086571159,6.2112526659,6.1028601246,6.2947924354,6.1611887772
Rpia,10.7219279927,10.419858274,11.8654455521,10.9395858043,11.1560596573,11.7248847749,11.488190112,11.5325325489
Lrpprc,13.0437720022,12.5066668849,13.7118800205,12.9397560584,12.8733627929,13.5361452811,13.7095351779,13.6071850474
Adam18,6.1113442859,6.0799647366,6.0003734632,5.9670314951,6.2090611139,6.1282408544,6.1330256496,6.0072527421
Uso1,11.583595472,11.5069285603,11.9065520799,12.1500748042,11.837379291,11.8899286459,11.6676051079,11.6252107195
Dpy19l2,6.0549701247,6.1071011412,6.0305151921,6.0437112566,6.1132606958,6.0744518067,6.0741793497,5.9983518342
1700034P13Rik,7.7724301725,7.7449338908,7.5515755952,7.9402579666,7.6940591826,7.5981429873,7.6780675311,7.7554283563
C1ql3,6.977348893,7.882552995,6.8830840981,6.5079117467,7.2132159699,6.8357965418,6.1801930316,6.0329465735
Cemip,6.343351988,6.1015889668,6.0717308573,6.0544336293,6.1580866229,6.0260560362,6.0959489067,6.1833956849
9630009A06Rik,6.0025474294,6.2308342869,6.0497624329,6.1313111178,6.1189390054,6.1001133227,6.0528288784,6.1646431874
Nrxn1,6.1066073775,6.0457558888,6.0453966577,6.0912337834,6.0286747634,6.1508252476,6.0593694911,6.0321676081
9530052E02Rik,6.4363621999,6.8741065818,6.2579152559,6.4752952562,6.4901533292,6.2298626963,6.2227223324,6.3015609633
9130230N09Rik,9.0762957095,9.5556584643,9.6895805388,9.8715017654,9.8880735527,9.825179069,8.6913958102,8.3293445712
Cox7a2,15.1566853493,15.0301341388,15.3076593649,15.0623215007,15.2942119955,15.3617013313,15.3774984329,15.2447049765
Rabggtb,13.5602844532,13.3239927592,12.6420257444,12.6040140699,12.6502062043,12.5587545676,12.8914881346,12.6956567473
Zfp2,6.3827164651,6.2887466955,6.2801046206,6.3524594361,6.4579771382,6.2778111724,6.3572654943,6.1946517024
Gnrhr,6.0489003771,6.1493635654,6.2717754795,6.0936977736,5.997423276,6.1232304213,6.116613929,6.3240388937
NAP030898-1,6.3573577231,6.1068345296,7.7276395529,6.1836512487,6.3271510543,6.3384594037,6.4401153554,6.4810073049
Gm31729,6.0956444991,6.0339574206,6.0687486978,6.0349855752,6.1007961295,6.086634633,6.2039484106,6.1381075089
Lmtk3,6.1939891567,6.1044217216,6.173299492,6.2097040003,6.0683448996,6.2098094591,6.1878798412,6.2133231924
AK143957,6.040565406,6.0903492511,6.1447909021,6.0772964816,6.1174590833,6.0223849295,6.3338924727,6.0967104908
Rasl11a,6.3125493966,6.4068002263,6.6323194782,6.4075406664,6.3348392397,6.5327171235,6.6180385446,7.1944772021
Hmox1,10.5018075812,10.050223828,10.3295022235,12.3893416261,11.7348982909,10.2779239384,11.1322096406,9.9184960312
Gm4211,6.2986219877,6.5762060382,6.1996255888,6.2534565492,6.110291752,6.1486681573,6.4225217843,6.113238071
Gm5155,6.1189630582,6.0301179943,6.0114658871,6.2227081579,6.0572152083,6.1206914939,6.2207110782,6.1213831487
P2ry12,6.3229954166,6.6255328826,6.5243131575,6.1610318734,6.2435683038,6.5390786111,6.2745515935,6.2867543079
Ppt1,10.0013143688,10.5286536717,12.0317792961,9.2409635571,9.5909355675,10.4401027956,9.5267092876,11.8220753718
Kcna2,6.0725817352,6.0973335799,6.12329913,6.2657498291,6.0456196962,6.1744220049,6.1532778798,6.1895531422
Tmem180,10.7532637801,10.3014905312,11.4056411827,10.6402399269,11.1358499544,11.0006227825,11.3300642895,10.7627389571
Gm32635,6.1669659981,6.4386286072,6.3796932876,6.3359908438,6.4956206629,6.4786789206,6.4120237125,6.4680958576
Ermap,6.2368483879,6.3582349815,6.2662115319,6.1794488911,6.1549840736,6.3328627575,6.2942455783,6.2905100014
Tmem147,12.4626860683,12.4412314109,12.9854672693,12.325323193,12.2749800785,12.7856955098,12.5930542659,12.7761768871
Usp20,11.4710547017,11.7500681942,11.3404279605,11.9175929137,11.9846523015,11.5696037302,11.4413179375,11.9643692394
Pvt1,10.5926393717,10.1286112232,9.5236378472,10.5636348368,9.9815760792,9.5186712743,9.8860473444,9.9253340165
7530416G11Rik,5.999496371,5.8772506294,6.0086048708,6.0154618797,5.9848696239,5.9807000613,6.1342096701,5.9658488301
Ice1,11.0153508392,10.8771118455,10.7041970882,11.0189519579,10.975192225,10.7831067827,11.066035342,10.8232965038
A_55_P2564373,6.21289792,6.4342684567,6.4713886307,6.0827592586,6.1629451047,6.2642389409,6.1814847937,6.2926081624
Gm36913,6.5519029749,6.5946044741,6.6865987781,7.1512178304,7.0089386478,6.8194804005,6.569582165,6.7401300191
D12895,6.2587438956,6.1789584716,6.311994904,6.2920708792,6.1258445514,6.5282596878,6.2826634057,6.4676783878
Cnn1,6.3460506929,6.2422611043,6.2776286046,6.2716941123,6.2426358379,6.0830633005,6.1865072713,6.1588215949
Tra2a,10.3340462018,9.1775505196,9.290520553,9.2583237307,8.878450793,9.0526960827,10.2698053934,9.7663068604
Bag1,15.0450189447,15.0200834616,15.4884074644,15.1629773756,15.2657940008,15.541820304,15.3440198973,15.4912336057
Rab27b,6.1599730906,6.1099982602,6.2559134348,6.2511301403,6.1168511822,6.2307426492,6.2543327462,6.1550727667
Gm9776,6.5771755481,6.5079117467,6.4366001723,6.6627311675,6.6871699165,6.4898711161,6.621700088,6.5640606006
Tgfbrap1,10.7089785546,11.078763283,10.8538755593,11.3972961034,11.6805074878,11.0351374813,10.9322674549,11.1534616589
Cep295,10.2257660071,9.7716234454,9.9911003926,9.7392756889,9.6062767552,9.7685698237,10.2367621525,10.3751906152
BY475620,6.1471388505,6.0934568278,5.9880038537,5.9726961277,6.0632944135,6.1911030883,6.1403620687,6.1860135957
2010204K13Rik,10.9453533468,10.7528977933,11.2717434177,9.7724589713,9.5358498887,10.9149972682,11.2956502593,10.6709513044
4930509J09Rik,5.9467663326,6.0811976108,6.1066845478,6.1097359479,6.2183245164,6.2683691025,6.0858120494,6.1261243211
Gm19866,6.3816730919,6.3790674566,6.4117956153,6.2270269933,6.2786729713,6.3401093959,6.332840591,6.4000155267
Mlf2,10.2353740558,10.1649067319,11.2512504769,10.4228717239,10.7616929879,11.2029303644,10.6598042419,10.2981092873
BG067755,6.5948858761,6.55586705,6.4738318208,6.6316930825,6.4090894078,6.6064621482,6.3190641526,6.5186102757
Platr10,6.1511584651,6.1475190514,5.977603684,6.1748225774,6.0763652621,6.2190840172,6.0736990858,6.2627046134
Tmem126b,9.0626928169,8.9231191019,9.1560636466,8.9076344498,9.0226848349,9.3340766825,9.2376903445,9.255071577
Cnga4,6.130517825,5.996008858,6.0062811328,6.1024579803,6.1555306964,6.0511015074,5.9763623425,6.0788715149
Radil,10.5291615004,10.6436228228,10.2372502308,10.8075889884,10.9298010481,10.2257660071,10.6687430558,10.9109877265
